Calculation,Pi_value,Time,Threads,Speedup,Size
Serial,3.1415926536,0.001270,1,1.000000,1000000
Reduction,3.1415926536,0.001252,1,1.014467,1000000
Critical,3.1415926536,0.001239,1,1.024765,1000000
Serial,3.1415926536,0.001241,2,1.000000,1000000
Reduction,3.1415926536,0.000655,2,1.896196,1000000
Critical,3.1415926536,0.000626,2,1.984763,1000000
Serial,3.1415926536,0.001238,4,1.000000,1000000
Reduction,3.1415926536,0.000704,4,1.758374,1000000
Critical,3.1415926536,0.000646,4,1.916912,1000000
Serial,3.1415926536,0.001238,8,1.000000,1000000
Reduction,3.1415926536,0.000702,8,1.763700,1000000
Critical,3.1415926536,0.000713,8,1.736546,1000000
Serial,3.1415926536,0.001232,16,1.000000,1000000
Reduction,3.1415926536,0.000780,16,1.578984,1000000
Critical,3.1415926536,0.000865,16,1.424497,1000000
Serial,3.1415926536,0.001228,32,1.000000,1000000
Reduction,3.1415926536,0.001105,32,1.111849,1000000
Critical,3.1415926536,0.001148,32,1.069787,1000000
Serial,3.1415926536,0.001229,64,1.000000,1000000
Reduction,3.1415926536,0.001056,64,1.163906,1000000
Critical,3.1415926536,0.001107,64,1.109695,1000000
Serial,3.1415926536,0.001226,128,1.000000,1000000
Reduction,3.1415926536,0.001125,128,1.089592,1000000
Critical,3.1415926536,0.001177,128,1.041334,1000000
