Calculation,Pi_value,Time,Threads,Speedup,Size
Serial,3.1415926536,0.001276,1,1.000000,1000000
Reduction,3.1415926536,0.001233,1,1.034922,1000000
Critical,3.1415926536,0.001234,1,1.033865,1000000
Serial,3.1415926536,0.002457,2,1.000000,2000000
Reduction,3.1415926536,0.001362,2,1.803291,2000000
Critical,3.1415926536,0.001317,2,1.865593,2000000
Serial,3.1415926536,0.004900,4,1.000000,4000000
Reduction,3.1415926536,0.002720,4,1.801228,4000000
Critical,3.1415926536,0.002945,4,1.663776,4000000
Serial,3.1415926536,0.009827,8,1.000000,8000000
Reduction,3.1415926536,0.005288,8,1.858373,8000000
Critical,3.1415926536,0.005495,8,1.788432,8000000
Serial,3.1415926536,0.019642,16,1.000000,16000000
Reduction,3.1415926536,0.011399,16,1.723094,16000000
Critical,3.1415926536,0.011285,16,1.740522,16000000
Serial,3.1415926536,0.039273,32,1.000000,32000000
Reduction,3.1415926536,0.021289,32,1.844790,32000000
Critical,3.1415926536,0.022243,32,1.765667,32000000
Serial,3.1415926536,0.078429,64,1.000000,64000000
Reduction,3.1415926536,0.043261,64,1.812938,64000000
Critical,3.1415926536,0.044532,64,1.761179,64000000
Serial,3.1415926536,0.156808,128,1.000000,128000000
Reduction,3.1415926536,0.085372,128,1.836761,128000000
Critical,3.1415926536,0.091682,128,1.710358,128000000
