Threads,Array Size,Time
1,10000000,1.770496e+00 
2,10000000,1.192404e+00 
4,10000000,5.999451e-01 
8,10000000,4.953682e-01 
16,10000000,5.904880e-01 
32,10000000,6.684251e-01 
64,10000000,1.116064e+00 
128,10000000,1.844404e+00 
1,100000000,1.541724e+01 
2,100000000,7.974534e+00 
4,100000000,5.051234e+00 
8,100000000,3.661575e+00 
16,100000000,4.283575e+00 
32,100000000,3.598442e+00 
64,100000000,4.912339e+00 
128,100000000,3.515333e+00 
1,1000000000,2.661973e+02 
2,1000000000,8.405766e+01 
4,1000000000,4.605433e+01 
8,1000000000,3.086210e+01 
16,1000000000,3.571046e+01 
32,1000000000,4.109899e+01 
64,1000000000,4.906360e+01 
128,1000000000,4.251783e+01
1,1000000,1.540480e-01
2,1000000,8.233342e-02
4,1000000,5.186923e-02
8,1000000,8.550113e-02
16,1000000,7.906028e-02
32,1000000,1.695170e-01
64,1000000,2.663392e-01
128,1000000,4.695360e-01
