threads,nx,nt,iters_cg,iters_newton,timespent
1,64,100,1007,301,0.0379887
2,64,100,1007,301,0.0556735
4,64,100,1007,301,0.0565229
8,64,100,1007,301,0.0618457
16,64,100,1007,301,0.0854896
1,128,100,1513,300,0.197254
2,128,100,1512,300,0.140665
4,128,100,1515,300,0.105939
8,128,100,1510,300,0.109276
16,128,100,1511,300,0.146763
1,256,100,2782,300,1.51231
2,256,100,2783,300,0.668975
4,256,100,2783,300,0.408839
8,256,100,2780,300,0.319894
16,256,100,2783,300,0.285512
1,512,100,5367,300,11.4337
2,512,100,5362,300,4.25099
4,512,100,5370,300,2.27243
8,512,100,5359,300,1.24909
16,512,100,5355,300,0.982462
1,1024,100,10543,305,114.47
2,1024,100,10476,302,35.3489
4,1024,100,10495,304,19.4365
8,1024,100,10546,306,13.5583
16,1024,100,10516,305,11.2851
