threads,nx,nt,iters_cg,iters_newton,timespent
1,64,100,1007,301,0.0364688
1,64,100,1007,301,0.037779
1,64,100,1007,301,0.0372061
1,64,100,1007,301,0.0372394
1,64,100,1007,301,0.0382734
1,64,100,1007,301,0.036628
1,64,100,1007,301,0.0364929
1,64,100,1007,301,0.0374308
1,64,100,1007,301,0.0369364
1,64,100,1007,301,0.0381752
1,64,100,1007,301,0.0355587
1,64,100,1007,301,0.048094
1,64,100,1007,301,0.0355894
1,64,100,1007,301,0.0383358
1,64,100,1007,301,0.0480608
1,64,100,1007,301,0.0466151
1,64,100,1007,301,0.0511898
1,64,100,1007,301,0.0359216
1,64,100,1007,301,0.0467993
1,64,100,1007,301,0.053058
1,64,100,1007,301,0.0470704
1,64,100,1007,301,0.0373059
1,64,100,1007,301,0.0370964
1,64,100,1007,301,0.0470712
1,64,100,1007,301,0.0367745
1,64,100,1007,301,0.0467321
1,64,100,1007,301,0.0470058
1,64,100,1007,301,0.0370944
1,64,100,1007,301,0.0484167
1,64,100,1007,301,0.0478765
1,64,100,1007,301,0.0481381
1,64,100,1007,301,0.0469571
1,64,100,1007,301,0.0474981
1,64,100,1007,301,0.0464276
1,64,100,1007,301,0.0559556
1,64,100,1007,301,0.0474556
1,64,100,1007,301,0.0478155
1,64,100,1007,301,0.04645
1,64,100,1007,301,0.0351103
1,64,100,1007,301,0.0376792
1,64,100,1007,301,0.0378336
1,64,100,1007,301,0.0524322
1,64,100,1007,301,0.0475319
1,64,100,1007,301,0.037159
1,64,100,1007,301,0.0487373
1,64,100,1007,301,0.0484515
1,64,100,1007,301,0.048337
1,64,100,1007,301,0.0478383
1,64,100,1007,301,0.0469649
1,64,100,1007,301,0.0356028
1,64,100,1007,301,0.0346258
1,64,100,1007,301,0.0369686
1,64,100,1007,301,0.0371091
1,64,100,1007,301,0.0481594
1,64,100,1007,301,0.0375121
1,64,100,1007,301,0.0366021
1,64,100,1007,301,0.0381292
1,64,100,1007,301,0.0368553
1,64,100,1007,301,0.0371817
1,64,100,1007,301,0.0481654
1,64,100,1007,301,0.0480114
1,64,100,1007,301,0.0470818
1,64,100,1007,301,0.0471989
1,64,100,1007,301,0.0475842
1,64,100,1007,301,0.0491929
1,64,100,1007,301,0.0377783
1,64,100,1007,301,0.0466394
1,64,100,1007,301,0.0475476
1,64,100,1007,301,0.0382816
1,64,100,1007,301,0.0369544
1,64,100,1007,301,0.0472556
1,64,100,1007,301,0.0480683
1,64,100,1007,301,0.0478474
1,64,100,1007,301,0.0473464
1,64,100,1007,301,0.0470915
1,64,100,1007,301,0.0488378
1,64,100,1007,301,0.0372921
1,64,100,1007,301,0.0465008
1,64,100,1007,301,0.0366713
1,64,100,1007,301,0.0473867
1,64,100,1007,301,0.0465223
1,64,100,1007,301,0.0375816
1,64,100,1007,301,0.0475759
1,64,100,1007,301,0.0360256
1,64,100,1007,301,0.0485624
1,64,100,1007,301,0.0369861
1,64,100,1007,301,0.0367011
1,64,100,1007,301,0.0371906
1,64,100,1007,301,0.0482419
1,64,100,1007,301,0.0465924
1,64,100,1007,301,0.0365785
1,64,100,1007,301,0.0470534
1,64,100,1007,301,0.0472213
1,64,100,1007,301,0.0480102
1,64,100,1007,301,0.0478922
1,64,100,1007,301,0.0472775
1,64,100,1007,301,0.047487
1,64,100,1007,301,0.0467566
1,64,100,1007,301,0.0476115
1,64,100,1007,301,0.0485712
2,128,100,1512,300,0.16922
2,128,100,1512,300,0.167322
2,128,100,1512,300,0.128447
2,128,100,1512,300,0.159755
2,128,100,1512,300,0.158456
2,128,100,1512,300,0.167096
2,128,100,1512,300,0.142959
2,128,100,1512,300,0.139757
2,128,100,1512,300,0.166398
2,128,100,1512,300,0.166622
2,128,100,1512,300,0.142095
2,128,100,1512,300,0.159249
2,128,100,1512,300,0.137141
2,128,100,1512,300,0.165791
2,128,100,1512,300,0.166105
2,128,100,1512,300,0.166902
2,128,100,1512,300,0.10273
