nx,ny,ntasks,size,timespent,TasksDoneByWorker
4001,4001,50,2,6.504804945550859,[ 0 50]
4001,4001,50,2,6.4796030558645725,[ 0 50]
4001,4001,50,2,6.425051161088049,[ 0 50]
4001,4001,50,2,6.5497468104586005,[ 0 50]
4001,4001,50,2,6.559704769402742,[ 0 50]
4001,4001,50,2,6.552187789231539,[ 0 50]
4001,4001,50,2,6.607743913307786,[ 0 50]
4001,4001,50,2,6.531198455952108,[ 0 50]
4001,4001,50,2,6.496406675316393,[ 0 50]
4001,4001,50,2,6.5525232357904315,[ 0 50]
4001,4001,50,2,6.522227956913412,[ 0 50]
4001,4001,50,2,6.392061330378056,[ 0 50]
4001,4001,50,2,6.532591314986348,[ 0 50]
4001,4001,50,2,6.36194899585098,[ 0 50]
4001,4001,50,2,6.360308164730668,[ 0 50]
4001,4001,50,2,6.445665946230292,[ 0 50]
4001,4001,50,2,6.411922270432115,[ 0 50]
4001,4001,50,2,6.495541497133672,[ 0 50]
4001,4001,50,2,6.4812247743830085,[ 0 50]
4001,4001,50,2,6.426697556860745,[ 0 50]
4001,4001,50,2,6.562141499482095,[ 0 50]
4001,4001,50,2,6.518704490736127,[ 0 50]
4001,4001,50,2,6.607245954684913,[ 0 50]
4001,4001,50,2,6.549075365997851,[ 0 50]
4001,4001,50,2,6.563302864320576,[ 0 50]
4001,4001,50,2,6.546048549935222,[ 0 50]
4001,4001,50,2,6.5259536216035485,[ 0 50]
4001,4001,50,2,6.555145292542875,[ 0 50]
4001,4001,50,2,6.413751377724111,[ 0 50]
4001,4001,50,2,6.403200265020132,[ 0 50]
4001,4001,50,2,6.362994357943535,[ 0 50]
4001,4001,50,2,6.509508654475212,[ 0 50]
4001,4001,50,2,6.446158095262945,[ 0 50]
4001,4001,50,2,6.357574135996401,[ 0 50]
4001,4001,50,2,6.377372583374381,[ 0 50]
4001,4001,50,2,6.425250684842467,[ 0 50]
4001,4001,50,2,6.621665257960558,[ 0 50]
4001,4001,50,2,6.911011792719364,[ 0 50]
4001,4001,50,2,6.6255117217078805,[ 0 50]
4001,4001,50,2,6.496315436437726,[ 0 50]
4001,4001,50,2,6.478327419608831,[ 0 50]
4001,4001,50,2,6.489687685854733,[ 0 50]
4001,4001,50,2,6.388225961476564,[ 0 50]
4001,4001,50,2,6.245861650444567,[ 0 50]
4001,4001,50,2,6.313677086494863,[ 0 50]
4001,4001,50,2,6.2611007215455174,[ 0 50]
4001,4001,50,2,6.363007285632193,[ 0 50]
4001,4001,50,2,6.313402430154383,[ 0 50]
4001,4001,50,2,6.707786719314754,[ 0 50]
4001,4001,50,2,6.281670338474214,[ 0 50]
4001,4001,50,4,3.1480041723698378,[ 0 17 16 17]
4001,4001,50,4,3.2400133395567536,[ 0 15 17 18]
4001,4001,50,4,3.3950306428596377,[ 0 14 17 19]
4001,4001,50,4,3.31381518766284,[ 0 15 16 19]
4001,4001,50,4,3.405435297638178,[ 0 15 17 18]
4001,4001,50,4,3.3338829148560762,[ 0 16 16 18]
4001,4001,50,4,3.1730250120162964,[ 0 18 15 17]
4001,4001,50,4,3.6883100774139166,[ 0 18 15 17]
4001,4001,50,4,3.1617020266130567,[ 0 17 16 17]
4001,4001,50,4,3.353188673965633,[ 0 15 16 19]
4001,4001,50,4,3.1635902682319283,[ 0 16 15 19]
4001,4001,50,4,3.229194011539221,[ 0 17 16 17]
4001,4001,50,4,3.44459957908839,[ 0 16 17 17]
4001,4001,50,4,3.391299187205732,[ 0 16 15 19]
4001,4001,50,4,3.4133457792922854,[ 0 17 16 17]
4001,4001,50,4,3.1757861925289035,[ 0 16 16 18]
4001,4001,50,4,3.3737107906490564,[ 0 16 15 19]
4001,4001,50,4,3.2520763874053955,[ 0 17 15 18]
4001,4001,50,4,3.1829284746199846,[ 0 17 16 17]
4001,4001,50,4,3.1768947867676616,[ 0 18 15 17]
4001,4001,50,4,3.2146739466115832,[ 0 17 15 18]
4001,4001,50,4,3.214200470596552,[ 0 18 14 18]
4001,4001,50,4,3.2331428173929453,[ 0 18 14 18]
4001,4001,50,4,3.1526089860126376,[ 0 18 15 17]
4001,4001,50,4,3.272007872350514,[ 0 16 17 17]
4001,4001,50,4,3.1981052812188864,[ 0 16 16 18]
4001,4001,50,4,3.188960725441575,[ 0 18 15 17]
4001,4001,50,4,3.263822853565216,[ 0 18 14 18]
4001,4001,50,4,3.2279793862253428,[ 0 18 16 16]
4001,4001,50,4,3.2080166013911366,[ 0 16 16 18]
4001,4001,50,4,3.300359759479761,[ 0 18 16 16]
4001,4001,50,4,3.3236203901469707,[ 0 18 16 16]
4001,4001,50,4,3.165291130542755,[ 0 17 16 17]
4001,4001,50,4,3.1897032419219613,[ 0 18 14 18]
4001,4001,50,4,3.1613656990230083,[ 0 18 15 17]
4001,4001,50,4,3.0980785693973303,[ 0 16 16 18]
4001,4001,50,4,3.3002727683633566,[ 0 16 15 19]
4001,4001,50,4,3.1144074155017734,[ 0 17 15 18]
4001,4001,50,4,3.15672056004405,[ 0 16 17 17]
4001,4001,50,4,3.434483164921403,[ 0 16 16 18]
4001,4001,50,4,3.365412127226591,[ 0 17 16 17]
4001,4001,50,4,3.1717424942180514,[ 0 18 16 16]
4001,4001,50,4,3.2245315881446004,[ 0 18 16 16]
4001,4001,50,4,3.691093831323087,[ 0 16 18 16]
4001,4001,50,4,3.2262769928202033,[ 0 18 15 17]
4001,4001,50,4,3.2458134181797504,[ 0 17 15 18]
4001,4001,50,4,3.7141038896515965,[ 0 16 17 17]
4001,4001,50,4,3.5623381473124027,[ 0 16 16 18]
4001,4001,50,4,3.233419452793896,[ 0 17 16 17]
4001,4001,50,4,3.2638690657913685,[ 0 18 16 16]
4001,4001,50,8,2.386277496814728,[0 7 9 6 8 7 6 7]
4001,4001,50,8,2.2759203910827637,[0 9 5 7 7 9 6 7]
4001,4001,50,8,2.310516716912389,[0 7 7 7 7 9 8 5]
4001,4001,50,8,2.4852814488112926,[0 7 7 7 7 8 7 7]
4001,4001,50,8,2.2411627219989896,[0 7 8 7 7 7 7 7]
4001,4001,50,8,2.2580652702599764,[0 8 6 7 6 6 9 8]
4001,4001,50,8,2.3020348269492388,[0 6 5 6 7 9 9 8]
