threads,nx,nt,iters_cg,iters_newton,timespent
1,64,100,1007,301,0.0313609
1,64,100,1007,301,0.042002
1,64,100,1007,301,0.0415163
1,64,100,1007,301,0.0411202
1,64,100,1007,301,0.041543
1,64,100,1007,301,0.0420032
1,64,100,1007,301,0.0419286
1,64,100,1007,301,0.0411519
1,64,100,1007,301,0.0416456
1,64,100,1007,301,0.0388312
1,64,100,1007,301,0.0390505
1,64,100,1007,301,0.0394595
1,64,100,1007,301,0.0391608
1,64,100,1007,301,0.0268491
1,64,100,1007,301,0.0271891
1,64,100,1007,301,0.0264424
1,64,100,1007,301,0.0268127
1,64,100,1007,301,0.0265008
1,64,100,1007,301,0.0264384
1,64,100,1007,301,0.0266356
1,64,100,1007,301,0.0265829
1,64,100,1007,301,0.0262743
1,64,100,1007,301,0.0268304
1,64,100,1007,301,0.0261952
1,64,100,1007,301,0.0268452
1,64,100,1007,301,0.0268193
1,64,100,1007,301,0.0261044
1,64,100,1007,301,0.0268143
1,64,100,1007,301,0.0266596
1,64,100,1007,301,0.0271355
1,64,100,1007,301,0.0261478
1,64,100,1007,301,0.026101
1,64,100,1007,301,0.026633
1,64,100,1007,301,0.0266122
1,64,100,1007,301,0.0261616
1,64,100,1007,301,0.026495
1,64,100,1007,301,0.0268324
1,64,100,1007,301,0.0264923
1,64,100,1007,301,0.0269268
1,64,100,1007,301,0.0267525
1,64,100,1007,301,0.0262606
1,64,100,1007,301,0.027325
1,64,100,1007,301,0.0262119
1,64,100,1007,301,0.0266043
1,64,100,1007,301,0.0263136
1,64,100,1007,301,0.0266436
1,64,100,1007,301,0.0264144
1,64,100,1007,301,0.0265392
1,64,100,1007,301,0.0263638
1,64,100,1007,301,0.0265369
2,64,100,1007,301,0.0155362
2,64,100,1007,301,0.0153801
2,64,100,1007,301,0.0160408
2,64,100,1007,301,0.0319988
2,64,100,1007,301,0.0154331
2,64,100,1007,301,0.0151311
2,64,100,1007,301,0.0156532
2,64,100,1007,301,0.0155714
2,64,100,1007,301,0.0153694
2,64,100,1007,301,0.0150879
2,64,100,1007,301,0.0153983
2,64,100,1007,301,0.0151857
2,64,100,1007,301,0.0156154
2,64,100,1007,301,0.0150752
2,64,100,1007,301,0.0154252
2,64,100,1007,301,0.0157964
2,64,100,1007,301,0.0154077
2,64,100,1007,301,0.0158564
2,64,100,1007,301,0.0156234
2,64,100,1007,301,0.0162419
2,64,100,1007,301,0.0155701
2,64,100,1007,301,0.0161203
2,64,100,1007,301,0.0153039
2,64,100,1007,301,0.0157305
2,64,100,1007,301,0.0153492
2,64,100,1007,301,0.0156939
2,64,100,1007,301,0.0242871
2,64,100,1007,301,0.0241637
2,64,100,1007,301,0.0237508
2,64,100,1007,301,0.0239844
2,64,100,1007,301,0.0238641
2,64,100,1007,301,0.0243119
2,64,100,1007,301,0.0243199
2,64,100,1007,301,0.0240221
2,64,100,1007,301,0.0235972
2,64,100,1007,301,0.0244886
2,64,100,1007,301,0.023539
2,64,100,1007,301,0.0242573
2,64,100,1007,301,0.023673
2,64,100,1007,301,0.0245014
2,64,100,1007,301,0.0247559
2,64,100,1007,301,0.0236399
2,64,100,1007,301,0.0238977
2,64,100,1007,301,0.0242886
2,64,100,1007,301,0.0239913
2,64,100,1007,301,0.0244684
2,64,100,1007,301,0.0238091
2,64,100,1007,301,0.0243737
2,64,100,1007,301,0.0239386
2,64,100,1007,301,0.0242313
4,64,100,1007,301,0.0242278
4,64,100,1007,301,0.0234829
4,64,100,1007,301,0.0232597
4,64,100,1007,301,0.0245555
4,64,100,1007,301,0.0259809
4,64,100,1007,301,0.0238672
4,64,100,1007,301,0.0244697
4,64,100,1007,301,0.0251544
4,64,100,1007,301,0.0269272
4,64,100,1007,301,0.0252587
4,64,100,1007,301,0.0247603
4,64,100,1007,301,0.0232889
