threads,nx,nt,iters_cg,iters_newton,timespent
0,64,100,1007,301,0.0312454
0,64,100,1007,301,0.0323999
0,64,100,1007,301,0.0317541
0,64,100,1007,301,0.0308254
0,64,100,1007,301,0.0314345
0,64,100,1007,301,0.0319234
0,64,100,1007,301,0.0313981
0,64,100,1007,301,0.0292892
0,64,100,1007,301,0.0415108
0,64,100,1007,301,0.0325207
0,64,100,1007,301,0.0313775
0,64,100,1007,301,0.0399992
0,64,100,1007,301,0.03923
0,64,100,1007,301,0.0311106
0,64,100,1007,301,0.0324349
0,64,100,1007,301,0.0401029
0,64,100,1007,301,0.0404245
0,64,100,1007,301,0.0410445
0,64,100,1007,301,0.0396802
0,64,100,1007,301,0.0313161
0,64,100,1007,301,0.0304516
0,64,100,1007,301,0.030668
0,64,100,1007,301,0.0326273
0,64,100,1007,301,0.0408067
0,64,100,1007,301,0.0324423
0,64,100,1007,301,0.0386888
0,64,100,1007,301,0.0395539
0,64,100,1007,301,0.0311119
0,64,100,1007,301,0.0316877
0,64,100,1007,301,0.031571
0,64,100,1007,301,0.0309741
0,64,100,1007,301,0.0320802
0,64,100,1007,301,0.0310431
0,64,100,1007,301,0.0409094
0,64,100,1007,301,0.0403228
0,64,100,1007,301,0.040836
0,64,100,1007,301,0.0313084
0,64,100,1007,301,0.0317548
0,64,100,1007,301,0.029903
0,64,100,1007,301,0.0298955
0,64,100,1007,301,0.0416656
0,64,100,1007,301,0.0331764
0,64,100,1007,301,0.0317307
0,64,100,1007,301,0.0313151
0,64,100,1007,301,0.0314086
0,64,100,1007,301,0.0408808
0,64,100,1007,301,0.0319991
0,64,100,1007,301,0.0307853
0,64,100,1007,301,0.0397
0,64,100,1007,301,0.031989
0,128,100,1513,300,0.220161
0,128,100,1513,300,0.219923
0,128,100,1513,300,0.221376
0,128,100,1513,300,0.220958
0,128,100,1513,300,0.166567
0,128,100,1513,300,0.178504
0,128,100,1513,300,0.219048
0,128,100,1513,300,0.166597
0,128,100,1513,300,0.218764
0,128,100,1513,300,0.165891
0,128,100,1513,300,0.167012
0,128,100,1513,300,0.165606
0,128,100,1513,300,0.164983
0,128,100,1513,300,0.17158
0,128,100,1513,300,0.219818
0,128,100,1513,300,0.224282
0,128,100,1513,300,0.221021
0,128,100,1513,300,0.167588
0,128,100,1513,300,0.219514
0,128,100,1513,300,0.220314
