threads,nx,nt,iters_cg,iters_newton,timespent
1,64,100,1007,301,0.0294915
1,64,100,1007,301,0.0342156
1,64,100,1007,301,0.0314077
1,64,100,1007,301,0.0309838
1,64,100,1007,301,0.0372871
1,64,100,1007,301,0.0293576
1,64,100,1007,301,0.0296355
1,64,100,1007,301,0.0290424
1,64,100,1007,301,0.0297395
1,64,100,1007,301,0.0287993
1,64,100,1007,301,0.0476036
1,64,100,1007,301,0.0299962
1,64,100,1007,301,0.0288328
1,64,100,1007,301,0.0288512
1,64,100,1007,301,0.0296668
1,64,100,1007,301,0.0292599
1,64,100,1007,301,0.0291838
1,64,100,1007,301,0.0290539
1,64,100,1007,301,0.0293459
1,64,100,1007,301,0.0295821
1,64,100,1007,301,0.0274353
1,64,100,1007,301,0.0289339
1,64,100,1007,301,0.0285656
1,64,100,1007,301,0.0291389
1,64,100,1007,301,0.0268194
1,64,100,1007,301,0.02935
1,64,100,1007,301,0.0288728
1,64,100,1007,301,0.0293975
1,64,100,1007,301,0.0293412
1,64,100,1007,301,0.0296119
1,64,100,1007,301,0.0288377
1,64,100,1007,301,0.0286007
1,64,100,1007,301,0.0287208
1,64,100,1007,301,0.0288267
1,64,100,1007,301,0.0291519
1,64,100,1007,301,0.0291419
1,64,100,1007,301,0.0291304
1,64,100,1007,301,0.0284905
1,64,100,1007,301,0.0290447
1,64,100,1007,301,0.0294101
1,64,100,1007,301,0.0302183
1,64,100,1007,301,0.0285507
1,64,100,1007,301,0.0290708
1,64,100,1007,301,0.0293285
1,64,100,1007,301,0.0295495
1,64,100,1007,301,0.0284677
1,64,100,1007,301,0.0284073
1,64,100,1007,301,0.027627
1,64,100,1007,301,0.0294621
1,64,100,1007,301,0.0277966
4,128,100,1513,300,0.071117
4,128,100,1513,300,0.0704758
4,128,100,1513,300,0.0702902
4,128,100,1513,300,0.0803977
4,128,100,1513,300,0.0571669
4,128,100,1513,300,0.0678423
4,128,100,1513,300,0.073611
4,128,100,1513,300,0.0725476
4,128,100,1513,300,0.0709259
4,128,100,1513,300,0.0721065
4,128,100,1513,300,0.0727661
4,128,100,1513,300,0.0713512
4,128,100,1513,300,0.0724117
4,128,100,1513,300,0.0693436
4,128,100,1513,300,0.072827
4,128,100,1513,300,0.0773426
4,128,100,1513,300,0.0754478
4,128,100,1513,300,0.07401
4,128,100,1513,300,0.0653034
4,128,100,1513,300,0.0824307
4,128,100,1513,300,0.0786683
4,128,100,1513,300,0.0727675
4,128,100,1513,300,0.0761348
4,128,100,1513,300,0.0703678
4,128,100,1513,300,0.0722409
4,128,100,1513,300,0.0769232
4,128,100,1513,300,0.0577989
4,128,100,1513,300,0.05674
4,128,100,1513,300,0.0576366
4,128,100,1513,300,0.0692683
4,128,100,1513,300,0.080285
4,128,100,1513,300,0.0686782
4,128,100,1513,300,0.0777705
4,128,100,1513,300,0.0687093
4,128,100,1513,300,0.0741867
4,128,100,1513,300,0.0818675
4,128,100,1513,300,0.0662859
4,128,100,1513,300,0.0745466
4,128,100,1513,300,0.0690998
4,128,100,1513,300,0.073741
4,128,100,1513,300,0.0780075
4,128,100,1513,300,0.0746248
4,128,100,1513,300,0.0746152
4,128,100,1513,300,0.0753128
4,128,100,1513,300,0.0847917
4,128,100,1513,300,0.075353
4,128,100,1513,300,0.0840544
4,128,100,1513,300,0.0757675
4,128,100,1513,300,0.0651601
4,128,100,1513,300,0.0725421
16,256,100,2786,300,0.134945
